Wall time,Step,Value
1779843234.366193,0,0.19780732691287994
1779843239.6764786,2,0.19340185821056366
1779843242.2793891,3,0.19039133191108704
1779843244.8476787,4,0.18094487488269806
1779843257.0549004,9,0.1424693465232849
1779843259.558607,10,0.14319320023059845
1779843262.0172698,11,0.14221729338169098
1779843269.289267,14,0.14402206242084503
1779843271.943417,15,0.14249970018863678
1779843274.6644557,16,0.14304454624652863
1779843279.65401,18,0.14429397881031036
1779843282.09754,19,0.14411260187625885
1779843284.4087195,20,0.14439323544502258
1779843289.0216284,22,0.14398232102394104
1779843291.4158466,23,0.14369910955429077
1779843298.4987156,26,0.1425289511680603
1779843300.9245284,27,0.14140000939369202
1779843303.2288327,28,0.14189095795154572
1779843305.5131595,29,0.1413641721010208
1779843307.9451933,30,0.14152918756008148
1779843315.1144001,33,0.14104658365249634
1779843317.6109304,34,0.14080810546875
1779843322.213079,36,0.13928206264972687
1779843324.374784,37,0.13912855088710785
1779843326.5708697,38,0.13890372216701508
1779843328.8239963,39,0.13893340528011322
1779843331.1025155,40,0.13950398564338684
1779843347.8586376,47,0.14177992939949036
1779843350.2912962,48,0.14178383350372314
1779843352.753295,49,0.14128290116786957
1779843355.2473295,50,0.14097464084625244
1779843357.6147244,51,0.14159852266311646
1779843359.950364,52,0.14171192049980164
1779843362.3041344,53,0.142387256026268
1779843364.4456131,54,0.1430482268333435
1779843366.7985303,55,0.1442801058292389
1779843371.394399,57,0.14608211815357208
1779843378.1316862,60,0.15033408999443054
1779843380.4249907,61,0.1510586440563202
1779843382.7845902,62,0.1516890972852707
1779843385.1006641,63,0.15273667871952057
1779843389.837371,65,0.1546410322189331
1779843392.1452303,66,0.15492014586925507
1779843394.5201943,67,0.15512818098068237
1779843396.7983844,68,0.15494707226753235
1779843401.4256015,70,0.15413159132003784
1779843403.6797476,71,0.1536397784948349
1779843408.0413496,73,0.1534215211868286
1779843412.359826,75,0.15442624688148499
1779843416.8009057,77,0.15385927259922028
1779843419.0551014,78,0.15402820706367493
1779843421.4634573,79,0.15429359674453735
1779843423.7811463,80,0.15508483350276947
1779843428.5100749,82,0.15588566660881042
1779843430.8963716,83,0.15642298758029938
1779843435.3088932,85,0.15760359168052673
1779843437.6779423,86,0.15772205591201782
1779843440.0441468,87,0.15795934200286865
1779843444.5405138,89,0.15850624442100525
1779843446.827198,90,0.1577187180519104
1779843458.6776636,95,0.1580718606710434
1779843467.8636317,99,0.156725212931633
1779843470.0962274,100,0.15618926286697388
1779843476.8693237,103,0.15567979216575623
1779843479.1037848,104,0.15644235908985138
1779843483.479961,106,0.1558281034231186
1779843485.8144882,107,0.15546345710754395
1779843488.204058,108,0.1556556522846222
1779843490.6614947,109,0.15599991381168365
1779843492.964456,110,0.1562647819519043
1779843495.3510041,111,0.15660829842090607
1779843497.7518713,112,0.1569974571466446
1779843502.6629014,114,0.15611211955547333
1779843504.8329568,115,0.15598294138908386
1779843506.9797142,116,0.15561434626579285
1779843516.500851,120,0.1546628773212433
1779843518.8565073,121,0.15452510118484497
1779843528.078774,125,0.1548745185136795
1779843530.3991787,126,0.15532872080802917
1779843535.0389864,128,0.15485940873622894
1779843537.4628885,129,0.15456120669841766
1779843539.817464,130,0.15442006289958954
1779843542.1808343,131,0.15426811575889587
1779843544.4524777,132,0.15385468304157257
1779843549.0596242,134,0.15309835970401764
1779843553.3759212,136,0.1528531312942505
1779843555.5371692,137,0.15284019708633423
1779843557.6792386,138,0.15292119979858398
1779843559.871954,139,0.1524415910243988
1779843568.8673794,143,0.1517484039068222
1779843571.1092086,144,0.15155379474163055
1779843573.2613225,145,0.15143869817256927
1779843575.588118,146,0.15074001252651215
1779843577.907244,147,0.15058867633342743
1779843584.792532,150,0.1502755880355835
1779843593.7815607,154,0.15089289844036102
1779843598.1473634,156,0.15114949643611908
1779843600.4282439,157,0.15112602710723877
1779843604.7975266,159,0.15166859328746796
1779843607.0877614,160,0.15177737176418304
1779843611.6091359,162,0.1519969403743744
1779843613.949566,163,0.15201354026794434
1779843616.267631,164,0.1517968773841858
1779843621.1092203,166,0.15179258584976196
1779843625.9294326,168,0.15124058723449707
1779843630.5526593,170,0.15134096145629883
1779843632.8525445,171,0.15120187401771545
1779843635.355047,172,0.15101657807826996
1779843640.0696082,174,0.15150098502635956
1779843642.4842877,175,0.15212410688400269
1779843644.756182,176,0.15252678096294403
1779843647.0582561,177,0.1525687426328659
1779843649.242839,178,0.15308962762355804
1779843653.886871,180,0.1538027673959732
1779843656.1555412,181,0.154142364859581
1779843658.3588803,182,0.15427346527576447
1779843660.6260097,183,0.15498608350753784
1779843663.0256867,184,0.15586979687213898
1779843665.4819498,185,0.156505286693573
1779843667.8355758,186,0.15709522366523743
1779843675.004006,189,0.1572318822145462
1779843677.428817,190,0.15789566934108734
1779843679.826177,191,0.15803231298923492
1779843682.3411167,192,0.15841126441955566
1779843689.6341603,195,0.15894456207752228
1779843696.9127383,198,0.15999077260494232
1779843699.2829018,199,0.15994954109191895
1779843701.6228309,200,0.15950648486614227
1779843706.1007035,202,0.16056711971759796
1779843708.3491554,203,0.16159510612487793
1779843710.6865666,204,0.16165462136268616
1779843712.9638348,205,0.16205745935440063
1779843717.4089468,207,0.16214795410633087
1779843719.5897584,208,0.16237206757068634
1779843721.8400161,209,0.16310568153858185
1779843726.4430091,211,0.1634390950202942
1779843731.095612,213,0.163744255900383
1779843735.9250715,215,0.1643093079328537
1779843738.2619193,216,0.1643756479024887
1779843743.0099792,218,0.165007546544075
1779843745.4378579,219,0.16530124843120575
1779843747.8569083,220,0.16556847095489502
1779843750.2804058,221,0.16570979356765747
1779843752.6923087,222,0.16556748747825623
1779843757.6976638,224,0.16618983447551727
1779843760.0874798,225,0.16666869819164276
1779843762.4638062,226,0.1672852635383606
1779843769.6561306,229,0.16755810379981995
1779843774.3542213,231,0.16842994093894958
1779843776.808178,232,0.16906890273094177
1779843781.320142,234,0.1696869283914566
1779843783.6505067,235,0.1706037074327469
1779843785.9949918,236,0.17017529904842377
1779843788.3820097,237,0.17091503739356995
1779843790.6811705,238,0.17148877680301666
1779843792.9778361,239,0.17199766635894775
1779843797.6027875,241,0.17206798493862152
1779843800.0069056,242,0.17185072600841522
1779843804.8161533,244,0.17235726118087769
1779843807.0872304,245,0.17247778177261353
1779843809.3633122,246,0.17247635126113892
1779843811.7694368,247,0.17289775609970093
1779843814.2095447,248,0.17315877974033356
1779843816.492253,249,0.1734224408864975
1779843823.1859372,252,0.17426925897598267
1779843825.4141648,253,0.17459595203399658
1779843827.6211364,254,0.17484478652477264
1779843829.8928118,255,0.17481575906276703
1779843834.4388645,257,0.17429302632808685
1779843836.6642141,258,0.17418642342090607
1779843838.9698446,259,0.17408452928066254
1779843841.3184655,260,0.17469121515750885
1779843845.9993117,262,0.1756463199853897
1779843848.2781074,263,0.17612279951572418
1779843859.6584518,268,0.17664575576782227
1779843864.3252525,270,0.1765621155500412
1779843866.7165003,271,0.1768316775560379
1779843873.8013732,274,0.17727340757846832
1779843876.1477427,275,0.17762497067451477
1779843878.5478883,276,0.17785488069057465
1779843883.1529129,278,0.1778537631034851
1779843885.53025,279,0.17834316194057465
1779843887.6337762,280,0.1780862957239151
1779843889.825763,281,0.17830537259578705
1779843892.093222,282,0.17855358123779297
1779843894.3019106,283,0.1786351501941681
1779843896.536204,284,0.1790081113576889
1779843898.8044732,285,0.17876575887203217
1779843903.3203743,287,0.17945873737335205
1779843905.615433,288,0.1792970895767212
1779843910.0184689,290,0.17956553399562836
1779843912.2239292,291,0.18007118999958038
1779843921.4441123,295,0.1797986626625061
1779843923.7891326,296,0.17960166931152344
1779843925.9977055,297,0.1794520914554596
1779843928.4164736,298,0.1799248605966568
1779843930.8282754,299,0.18002143502235413
1779843933.1647096,300,0.18032017350196838
1779843942.6593897,304,0.18047304451465607
1779843945.0143735,305,0.1806984841823578
1779843947.3451262,306,0.18053898215293884
1779843949.610075,307,0.18040084838867188
1779843951.9052544,308,0.18072295188903809
1779843954.1966062,309,0.180684432387352
1779843958.6443284,311,0.18115107715129852
1779843960.9347076,312,0.18134820461273193
1779843963.1989434,313,0.18130876123905182
1779843965.3799539,314,0.18172124028205872
1779843967.7670624,315,0.1820947825908661
1779843970.0956256,316,0.1819540560245514
1779843974.5556283,318,0.18205785751342773
1779843976.8276436,319,0.1820990890264511
1779843979.21093,320,0.18210069835186005
1779843981.5157115,321,0.18247240781784058
1779843983.8788748,322,0.18220888078212738
1779843988.6000688,324,0.1822766363620758
1779843995.6618252,327,0.18263299763202667
1779844000.5878694,329,0.18273422122001648
1779844002.9696085,330,0.18293459713459015
1779844005.3352704,331,0.18287907540798187
1779844007.697008,332,0.18319031596183777
1779844009.9929533,333,0.18336135149002075
1779844018.9927194,337,0.1839912384748459
1779844021.2738638,338,0.18415093421936035
1779844025.8064032,340,0.183999702334404
1779844030.4181886,342,0.18400372564792633
1779844032.7308888,343,0.1842249631881714
1779844034.9204412,344,0.1847233921289444
1779844037.2582433,345,0.18438512086868286
1779844039.7256763,346,0.18473023176193237
1779844044.5360181,348,0.18471001088619232
1779844047.1078498,349,0.184701606631279
1779844049.5370545,350,0.18432536721229553
1779844054.304921,352,0.18449443578720093
1779844056.6475234,353,0.18446433544158936
1779844058.9749506,354,0.18459470570087433
1779844061.3290632,355,0.184723898768425
