Wall time,Step,Value
1779861106.2658067,0,0.19755321741104126
1779861111.8035371,2,0.19191981852054596
1779861114.231332,3,0.1825607419013977
1779861116.597546,4,0.17141517996788025
1779861128.4257994,9,0.14118267595767975
1779861130.991525,10,0.14133863151073456
1779861133.5109768,11,0.1368541419506073
1779861141.099982,14,0.1337078958749771
1779861143.9525483,15,0.13331787288188934
1779861146.4863904,16,0.13266649842262268
1779861151.5778337,18,0.13359814882278442
1779861154.1015906,19,0.1338271200656891
1779861156.672366,20,0.13410644233226776
1779861161.6854293,22,0.13249538838863373
1779861164.5667055,23,0.13183286786079407
1779861172.414315,26,0.1311979442834854
1779861175.0895455,27,0.1303269863128662
1779861177.7648,28,0.12992800772190094
1779861180.1050644,29,0.1295596808195114
1779861182.8014567,30,0.1291951984167099
1779861190.1805148,33,0.12943457067012787
1779861192.8314059,34,0.1294342428445816
1779861197.7559338,36,0.1300760954618454
1779861200.0306373,37,0.13000217080116272
1779861202.403229,38,0.13048025965690613
1779861204.785831,39,0.13068148493766785
1779861207.228428,40,0.13149669766426086
1779861224.6086802,47,0.13374938070774078
1779861227.2340527,48,0.13472957909107208
1779861229.8734498,49,0.1351698487997055
1779861232.341644,50,0.1358955055475235
1779861234.957023,51,0.13628147542476654
1779861237.4274607,52,0.13655325770378113
1779861239.7084289,53,0.13657709956169128
1779861241.998265,54,0.13689091801643372
1779861244.409989,55,0.1369020938873291
1779861249.4981081,57,0.13638810813426971
1779861256.8830798,60,0.1365319788455963
1779861259.445978,61,0.13639792799949646
1779861262.028106,62,0.13588260114192963
1779861264.6591184,63,0.1361188441514969
1779861269.7011507,65,0.13531580567359924
1779861272.2528262,66,0.13524478673934937
1779861274.8607514,67,0.13522344827651978
1779861277.422528,68,0.13519205152988434
1779861282.4758844,70,0.13544057309627533
1779861284.8349693,71,0.13555490970611572
1779861289.8731153,73,0.13583973050117493
1779861294.8548133,75,0.13616566359996796
1779861299.9035099,77,0.13601043820381165
1779861302.3357446,78,0.13609719276428223
1779861304.8359292,79,0.1362190842628479
1779861307.4512446,80,0.13602110743522644
1779861312.5622566,82,0.13583886623382568
1779861315.1160805,83,0.13582614064216614
1779861320.391771,85,0.13597382605075836
1779861322.9811084,86,0.13609705865383148
1779861325.5639935,87,0.13644210994243622
1779861330.7114325,89,0.13631483912467957
1779861333.2187135,90,0.13649851083755493
1779861345.4757552,95,0.13569355010986328
1779861355.4294782,99,0.1349710375070572
1779861357.9768848,100,0.13486355543136597
1779861365.6306417,103,0.13353413343429565
1779861368.1605747,104,0.13342738151550293
1779861373.2306578,106,0.13401277363300323
1779861375.7800136,107,0.13418644666671753
1779861378.281486,108,0.13387234508991241
1779861380.614969,109,0.13420909643173218
1779861383.1389184,110,0.13384519517421722
1779861385.7818227,111,0.13366612792015076
1779861388.38047,112,0.13351644575595856
1779861393.5046728,114,0.1335528939962387
1779861396.1571796,115,0.13315007090568542
1779861398.701326,116,0.13334967195987701
1779861409.1325748,120,0.13276055455207825
1779861411.7276752,121,0.13285554945468903
1779861422.0536308,125,0.13287769258022308
1779861424.6617782,126,0.13279415667057037
1779861429.8336413,128,0.1327442228794098
1779861432.3828728,129,0.1327315866947174
1779861434.8197691,130,0.1330811083316803
1779861437.4300382,131,0.13318730890750885
1779861440.0421894,132,0.1328858584165573
1779861445.0379674,134,0.13278621435165405
1779861450.0693703,136,0.13238881528377533
1779861452.637655,137,0.132647305727005
1779861455.0361845,138,0.13287214934825897
1779861457.537951,139,0.13299086689949036
1779861467.7963066,143,0.13316293060779572
1779861470.1522183,144,0.1334972381591797
1779861472.652288,145,0.13346414268016815
1779861475.210572,146,0.13334713876247406
1779861477.714216,147,0.13365019857883453
1779861485.054159,150,0.13394398987293243
1779861495.1875665,154,0.13471215963363647
1779861500.289493,156,0.1346464306116104
1779861502.9265168,157,0.13433589041233063
1779861508.0816004,159,0.13458073139190674
1779861510.8044283,160,0.13478119671344757
1779861515.765039,162,0.13498684763908386
1779861518.3675685,163,0.13531708717346191
1779861520.861657,164,0.13536714017391205
1779861525.9042182,166,0.1355840414762497
1779861530.945913,168,0.13673904538154602
1779861536.1244407,170,0.13644781708717346
1779861538.6324112,171,0.13725923001766205
1779861541.148418,172,0.13743609189987183
1779861546.0501363,174,0.1376451551914215
1779861548.4042902,175,0.13777053356170654
1779861550.910759,176,0.1383127123117447
1779861553.3971481,177,0.1385987102985382
1779861555.85477,178,0.139156773686409
1779861560.8962517,180,0.13947181403636932
1779861563.6040816,181,0.1399291753768921
1779861566.1253524,182,0.14047306776046753
1779861568.690499,183,0.14070002734661102
1779861571.3025587,184,0.14066408574581146
1779861573.906288,185,0.14111624658107758
1779861576.4226468,186,0.1413877010345459
1779861584.4228525,189,0.14149393141269684
1779861587.034199,190,0.14139442145824432
1779861589.6844788,191,0.14164607226848602
1779861592.262195,192,0.14158447086811066
1779861600.1445289,195,0.14218364655971527
1779861607.6265593,198,0.1428983509540558
1779861610.1495812,199,0.14311230182647705
1779861612.6331637,200,0.1432119756937027
1779861617.6319585,202,0.14361251890659332
1779861620.2538426,203,0.1437424123287201
1779861622.9130654,204,0.14375977218151093
1779861625.461299,205,0.14361339807510376
1779861630.6989973,207,0.14408303797245026
1779861633.292362,208,0.14464659988880157
1779861635.887465,209,0.14435581862926483
1779861640.952399,211,0.14488747715950012
1779861646.1407468,213,0.14499251544475555
1779861651.256669,215,0.14586037397384644
1779861653.9152882,216,0.14588439464569092
1779861659.18832,218,0.14571766555309296
1779861661.710127,219,0.1456642746925354
1779861664.2264457,220,0.14592963457107544
1779861666.8173656,221,0.14636586606502533
1779861669.4147854,222,0.14664793014526367
1779861674.5651317,224,0.1471525877714157
1779861677.2165782,225,0.14689147472381592
1779861679.7415698,226,0.1476006656885147
1779861687.5775018,229,0.14770880341529846
1779861692.6402614,231,0.14815497398376465
1779861695.0377052,232,0.1484033465385437
1779861700.0554192,234,0.14885231852531433
1779861702.8089864,235,0.14881667494773865
1779861705.3117173,236,0.14888796210289001
1779861707.9401178,237,0.14934141933918
1779861710.5996792,238,0.1496499627828598
1779861713.242948,239,0.14940917491912842
1779861718.3673437,241,0.15035584568977356
1779861720.7616343,242,0.15077435970306396
1779861725.8866284,244,0.15108084678649902
1779861728.3441777,245,0.1514967530965805
1779861730.9505575,246,0.15120600163936615
1779861733.5767255,247,0.15120580792427063
1779861736.294647,248,0.15099148452281952
1779861738.9140644,249,0.15148058533668518
1779861746.6818979,252,0.1521669626235962
1779861749.4453585,253,0.15243996679782867
1779861751.974331,254,0.1526334136724472
1779861754.4686835,255,0.15301024913787842
1779861759.6195533,257,0.15282009541988373
1779861762.3833425,258,0.1536853313446045
1779861765.178313,259,0.1536955088376999
1779861767.8142285,260,0.15385733544826508
1779861773.2251537,262,0.15483392775058746
1779861775.8494573,263,0.1551085114479065
1779861789.1215956,268,0.1566777378320694
1779861794.4902415,270,0.15689602494239807
