Wall time,Step,Value
1779865156.0871944,0,0.19763405621051788
1779865161.663715,2,0.19116035103797913
1779865164.3755896,3,0.1842850297689438
1779865166.883991,4,0.17256784439086914
1779865179.8163795,9,0.09091954678297043
1779865182.5109131,10,0.07794100046157837
1779865185.1282575,11,0.06864803284406662
1779865193.265543,14,0.06152834743261337
1779865196.7618809,15,0.0628494992852211
1779865200.0960839,16,0.06610259413719177
1779865207.273855,18,0.0756784975528717
1779865209.8885772,19,0.07958387583494186
1779865212.4873753,20,0.08262261748313904
1779865217.4509187,22,0.09189721941947937
1779865219.9431574,23,0.0971018597483635
1779865228.1647918,26,0.10555265098810196
1779865230.6832685,27,0.10858377069234848
1779865233.3870864,28,0.11068373173475266
1779865235.9805007,29,0.11306187510490417
1779865238.6580927,30,0.11590635776519775
1779865246.343372,33,0.12106245011091232
1779865248.9918523,34,0.12368807196617126
1779865254.2067332,36,0.1292218416929245
1779865256.8161755,37,0.13200528919696808
1779865259.470898,38,0.1342635154724121
1779865262.0296361,39,0.13627655804157257
1779865264.6121027,40,0.13796468079090118
1779865282.6563797,47,0.14306437969207764
1779865285.2778482,48,0.141020268201828
1779865287.6164002,49,0.1387183517217636
1779865289.896253,50,0.13610588014125824
1779865292.3469377,51,0.13537755608558655
1779865295.087127,52,0.13384456932544708
1779865297.7282674,53,0.13377831876277924
1779865300.29325,54,0.13338913023471832
1779865302.7568533,55,0.1340455412864685
1779865307.5810485,57,0.14124132692813873
1779865314.9935741,60,0.14872856438159943
1779865317.5894222,61,0.1484500914812088
1779865320.0916176,62,0.15000228583812714
1779865322.6242669,63,0.15031374990940094
1779865327.4036326,65,0.1486721783876419
1779865329.877152,66,0.1481039822101593
1779865332.4847348,67,0.14712293446063995
1779865334.9502528,68,0.14577975869178772
1779865340.0221457,70,0.1416492462158203
1779865342.5228753,71,0.1399318277835846
1779865347.4512453,73,0.14065848290920258
1779865352.5268052,75,0.14130550622940063
1779865357.4067512,77,0.14363257586956024
1779865359.7674441,78,0.14478154480457306
1779865362.136734,79,0.14516696333885193
1779865364.7261708,80,0.1443045735359192
1779865369.7320285,82,0.14464344084262848
1779865372.20274,83,0.14392437040805817
1779865377.0253015,85,0.14329299330711365
1779865379.4945118,86,0.14329175651073456
1779865381.9596522,87,0.14337651431560516
1779865386.7355947,89,0.14459730684757233
1779865389.2214599,90,0.14515624940395355
1779865401.1646564,95,0.14678287506103516
1779865410.980296,99,0.14767128229141235
1779865413.503019,100,0.14805588126182556
1779865420.710342,103,0.14832544326782227
1779865423.0899916,104,0.1478702276945114
1779865427.8717532,106,0.14701418578624725
1779865430.29675,107,0.1457359790802002
1779865432.819086,108,0.14570513367652893
1779865435.294732,109,0.14523077011108398
1779865437.8621361,110,0.14530645310878754
1779865440.2080643,111,0.1450304388999939
1779865442.68292,112,0.14502385258674622
1779865447.6815343,114,0.1445515900850296
1779865450.0642378,115,0.14411255717277527
1779865452.4633424,116,0.14494246244430542
1779865461.9953263,120,0.1444978266954422
1779865464.502298,121,0.14417676627635956
1779865474.0062711,125,0.14524970948696136
1779865476.4617963,126,0.14624197781085968
1779865481.2374783,128,0.14686092734336853
1779865483.780594,129,0.1469028890132904
1779865486.324343,130,0.14619262516498566
1779865488.7454493,131,0.14648930728435516
1779865491.11431,132,0.1469571888446808
1779865496.1472533,134,0.1479676365852356
1779865501.1388884,136,0.1480730026960373
1779865503.5239654,137,0.1478390246629715
1779865505.921747,138,0.14809882640838623
1779865508.3695762,139,0.14818307757377625
1779865517.6406648,143,0.14906057715415955
1779865520.0312924,144,0.1497076004743576
1779865522.4674819,145,0.15004795789718628
1779865525.0636296,146,0.15034562349319458
1779865527.4625866,147,0.1505691260099411
1779865535.0306013,150,0.15161219239234924
1779865544.9802907,154,0.15316560864448547
1779865549.9359033,156,0.15400835871696472
1779865552.389561,157,0.15459808707237244
1779865557.0749002,159,0.15590877830982208
1779865559.8244565,160,0.15671606361865997
1779865564.809602,162,0.15667344629764557
1779865567.2035835,163,0.15742187201976776
1779865569.600515,164,0.1569494605064392
1779865574.4120455,166,0.15751659870147705
1779865579.2024753,168,0.1586534082889557
1779865584.0802338,170,0.1582975834608078
1779865586.436977,171,0.1593124270439148
1779865588.8862214,172,0.15908721089363098
1779865593.7751274,174,0.15988118946552277
1779865596.1808016,175,0.15964724123477936
1779865598.576613,176,0.1596773862838745
1779865601.063586,177,0.1605219542980194
1779865603.5923116,178,0.1607779711484909
1779865608.4959853,180,0.1598445624113083
1779865610.8235345,181,0.16041728854179382
1779865613.2580945,182,0.1605144888162613
1779865615.6675177,183,0.1618918776512146
1779865617.9509492,184,0.16104166209697723
1779865620.3652258,185,0.16179212927818298
1779865622.8003058,186,0.1616695672273636
1779865630.0183759,189,0.1629733145236969
1779865632.5388322,190,0.16311027109622955
1779865635.0154028,191,0.16238276660442352
1779865637.4104605,192,0.1620357781648636
1779865644.6819525,195,0.16212593019008636
1779865651.836458,198,0.16320757567882538
1779865654.32269,199,0.16367632150650024
1779865656.7507124,200,0.1643078327178955
1779865661.5530307,202,0.16468080878257751
1779865664.0251853,203,0.16513130068778992
1779865666.4590666,204,0.16516241431236267
1779865668.8762233,205,0.1651782989501953
1779865673.6662538,207,0.16581889986991882
1779865676.0821898,208,0.16635124385356903
1779865678.5022876,209,0.1674162596464157
1779865683.2307842,211,0.16782373189926147
1779865688.1063263,213,0.16792847216129303
1779865692.6660728,215,0.16777139902114868
1779865695.0267055,216,0.16864734888076782
